,Proprietary
AHTANUM™ YCR 1 CV.,1
AMARILLO® VGXP01 CV.,1
BITTER GOLD,1
Bravo,1
Brewers Delight,1
Brewers Gold,1
BULLION,1
CASCADE,1
Centennial,1
CHELAN,1
CHINOOK,1
CITRA® HBC 394 CV.,1
Cluster,1
Columbus,1
CRYSTAL,1
EQUINOX™ HBC 366 CV.,1
Fuggle,1
Galena,1
Glacier,1
Golding,1
GR Brewers Gold,1
GR HALLERTAU,1
GR Herkules,1
GR Northern Brewer,1
GR PERLE,1
GR Tettnang,1
Hallertau,1
HORIZON,1
Liberty,1
Magnum,1
MILLENNIUM,1
MOSAIC™ HBC 369 CV.,1
MT. HOOD,1
Mt. Rainier,1
Newport,1
Northern Brewer,1
Nugget,1
PALISADE® YCR 4 CV.,1
PERLE,1
Saaz,1
Santiam,1
SIMCOE® YCR 14 CV.,1
SORACHI ACE,1
ST AURORA,1
ST Celeia,1
STERLING,1
Summit™,1
TAHOMA,1
TETTNANG,1
TRIPLEPEARL,1
UK ADMIRAL,1
UK EAST KENT GOLDING,1
UK WGV,1
Ultra,1
VANGUARD,1
WARRIOR® YCR 5 CV.,1
Willamette,1
YAKIMA GOLD,1
CVC,3
C12,3
